ID,Date,Link,Charge,Start count,Quantity,Service,Status,Remains
27504582,2025-10-1316:52:25,https://youtu.be/zgTMpBIAfaY,0.0174,0,40,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27504538,2025-10-1316:48:59,https://youtu.be/MM-6jf6uArA,0.0174,0,40,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27504462,2025-10-1316:40:56,https://youtu.be/oBx78oNpoag,0.0174,0,40,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27504387,2025-10-1316:32:41,https://youtu.be/jkq2QBlMolw,0.2175,0,500,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27504278,2025-10-1316:24:36,https://youtu.be/JVgINw_65u8,0.36975,0,850,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27504175,2025-10-1316:15:57,https://youtu.be/64sxNo4KfnU,0.06525,875,150,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27504170,2025-10-1316:15:36,https://youtu.be/jWBFbiujr8Q,0.36975,,850,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Processing,850
27503835,2025-10-1315:45:38,https://youtu.be/64sxNo4KfnU,0.348,0,800,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27499900,2025-10-1309:06:14,https://youtu.be/Jh4S0kfZW4w,0.0174,39,40,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27491691,2025-10-1219:43:32,https://youtu.be/ERJ_diPCMYQ,0.0435,338,100,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27491690,2025-10-1219:43:18,https://youtu.be/S8DukMsRd30,0.087,871,200,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27491688,2025-10-1219:42:56,https://youtu.be/8iLEfeN8VAA,0.10875,193,250,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27486391,2025-10-1211:54:10,https://youtu.be/dfQAhyjZAQU,0.0174,2,40,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27486388,2025-10-1211:53:43,https://youtu.be/S8DukMsRd30,0.10875,464,250,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27471089,2025-10-1109:39:28,https://youtu.be/QaeoaDKjAME,0.32625,0,750,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27470993,2025-10-1109:29:49,https://youtu.be/LHTov24iqaI,0.36975,0,850,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27470812,2025-10-1109:09:37,https://youtu.be/6k_FVC4mKQs,0.0435,40739,100,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27470811,2025-10-1109:09:27,https://youtu.be/jmBu5Xd6pUA,0.348,910983,800,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27470807,2025-10-1109:09:07,https://youtu.be/-QvwsH5Gh-I,0.3915,391260,900,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27470797,2025-10-1109:08:27,https://youtu.be/qBFZF1Hwm4I,0.10875,400,250,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27470789,2025-10-1109:07:27,https://youtu.be/v8IyiP14dl0,0.0174,7980,40,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27470785,2025-10-1109:07:16,https://youtu.be/c96vYjSvAd0,0.0435,8221,100,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27470780,2025-10-1109:06:41,https://youtu.be/7PAHtm2Ls4I,0.15225,770,350,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
