ID,Date,Link,Charge,Start count,Quantity,Service,Status,Remains
27504582,2025-10-13 16:52:25,HP Crunchy,0.0174,0.0,40,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27504538,2025-10-13 16:48:59,Thomas Satisfying,0.0174,0.0,40,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27504462,2025-10-13 16:40:56,Mini Toys World,0.0174,0.0,40,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27504387,2025-10-13 16:32:41,Rainbow Number,0.2175,0.0,500,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27504278,2025-10-13 16:24:36,Number B,0.36975,0.0,850,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27504175,2025-10-13 16:15:57,HP Mini DIY Tractor,0.06525,875.0,150,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27504170,2025-10-13 16:15:36,Number A,0.36975,,850,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Processing,850
27503835,2025-10-13 15:45:38,HP Mini DIY Tractor,0.348,0.0,800,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27499900,2025-10-13 09:06:14,Funny Bobo Edutainment Rhymes,0.0174,39.0,40,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27491691,2025-10-12 19:43:32,Funny Bobo Edutainment Rhymes,0.0435,338.0,100,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27491690,2025-10-12 19:43:18,Funny Bobo Edutainment Rhymes,0.087,871.0,200,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27491688,2025-10-12 19:42:56,Funny Bobo Edutainment Rhymes,0.10875,193.0,250,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
27486391,2025-10-12 11:54:10,Funny Bobo Edutainment Rhymes,0.0174,2.0,40,7260 — Youtube Likes - [G30 - Max 60k] [Speed 20k/D]⚡️,Completed,0
